run time: 2018-12-24 17:20:43
两宋元明 	 带着仓库到大明 		 𘢘𘢔𘢙𘢞𘢝𘢘 	  迪巴拉爵士 
秦汉三国 	 白狼公孙 		 𘢝𘢜𘢗𘢞𘢔𘢟 	  一语破春风 
原生幻想 	 你为何召唤我 		 𘢜𘢔𘢜𘢞𘢔𘢖 	  第十六笼馒头 
异世大陆 	 斗罗大陆 		 𘢝𘢔𘢙𘢞𘢔𘢘 	  唐家三少 
都市生活 	 超级潇洒人生 		 𘢝𘢟𘢔𘢞𘢗𘢖 	  胖达福 
两晋隋唐 	 盛唐剑圣 		 𘢝𘢚𘢝𘢞𘢟𘢙 	  无言不信 
东方玄幻 	 神门 		 𘢟𘢜𘢘𘢞𘢗𘢜 	  薪意 
电子竞技 	 英雄联盟：上帝之手 		 𘢝𘢜𘢚𘢞𘢘𘢙 	  三千勿忘尽 
高武世界 	 永恒武道 		 𘢟𘢗𘢘𘢞𘢙𘢙 	  月中阴 
虚拟网游 	 全职高手 		 𘢘𘢗𘢘𘢞𘢛𘢝 	  蝴蝶蓝 
娱乐明星 	 巨星来了 		 𘢝𘢜𘢔𘢞𘢟 	  念笯娇 
时空穿梭 	 无限之穿越异类生命 		 𘢜𘢟𘢘𘢞𘢙 	  蒙面和尚 
原生幻想 	 捉妖奶爸 		 𘢝𘢝𘢛𘢞𘢘𘢙 	  火中物 
清史民国 	 这个天国不太平 		 𘢗𘢖𘢟𘢞𘢜𘢚 	  三江口水 
军旅生涯 	 绝对荣誉 		 𘢝𘢙𘢖𘢞𘢖𘢝 	  严七官 
末世危机 	 末世之宠物为王 		 𘢜𘢟𘢟𘢞𘢝𘢝 	  六枭 
高武世界 	 奶爸的科技武道馆 		 𘢜𘢙𘢖𘢞𘢛𘢘 	  一梦几千秋 
时空穿梭 	 位面电梯 		 𘢖𘢗𘢟𘢞𘢙𘢜 	  千翠百恋 
虚拟网游 	 不可名状的日记簿 		 𘢜𘢗𘢜𘢞𘢜𘢔 	  悲伤之人的绝唱 
抗战烽火 	 抗日之特战兵王 		 𘢚𘢔𘢙𘢞𘢚𘢟 	  寂寞剑客 
修真文明 	 遮天 		 𘢖𘢗𘢝𘢞𘢗𘢜 	  辰东 
衍生同人 	 请回答火影 		 𘢜𘢛𘢛𘢞𘢜𘢔 	  蒙着面的Sama 
虚拟网游 	 惊悚乐园 		 𘢟𘢙𘢔𘢞𘢘𘢘 	  三天两觉 
东方玄幻 	 完美世界 		 𘢖𘢘𘢚𘢞𘢖𘢖 	  辰东 
灵异鬼怪 	 助鬼为乐系统 		 𘢜𘢔𘢗𘢞𘢝𘢖 	  左断手 
游戏系统 	 副本入侵者 		 𘢜𘢚𘢖𘢞𘢚𘢗 	  癫不二 
架空历史 	 穷鬼的上下两千年 		 𘢜𘢛𘢝𘢞𘢖𘢔 	  非玩家角色 
都市生活 	 美食旅行家 		 𘢜𘢝𘢜𘢞𘢛𘢟 	  小雪团子 
游戏系统 	 我的舢舨能升级 		 𘢜𘢗𘢗𘢞𘢚𘢙 	  二哥的小号 
异世大陆 	 异世界的美食家 		 𘢖𘢜𘢖𘢞𘢛𘢖 	  李鸿天 
时空穿梭 	 位面之纨绔生涯 		 𘢜𘢔𘢔𘢞𘢚𘢗 	  昨夜大雨 
两晋隋唐 	 唐砖 		 𘢟𘢟𘢖𘢞𘢜𘢔 	  孑与2 
谍战特工 	 交锋 		 𘢟𘢚𘢖𘢞𘢖𘢚 	  可大可小 
游戏异界 	 圣光并不会保佑你 		 𘢜𘢘𘢗𘢞𘢜𘢗 	  白眼镜猫 
都市生活 	 完美人生 		 𘢟𘢖𘢜𘢞𘢛𘢟 	  刀一耕 
都市生活 	 宿命长生 		 𘢜𘢝𘢖𘢞𘢗𘢚 	  谢张张谢 
幻想修仙 	 仙逆 		 𘢖𘢘𘢜𘢞𘢟𘢟 	  耳根 
史诗奇幻 	 当个法师闹革命 		 𘢝𘢝𘢙𘢞𘢘𘢖 	  尹四 
衍生同人 	 寻找走丢的舰娘 		 𘢗𘢗𘢘𘢞𘢘𘢗 	  海底熔岩 
异术超能 	 德猎 		 𘢜𘢜𘢔𘢞𘢟𘢔 	  小伈 
虚拟网游 	 勇敢者的世界 		 𘢟𘢗𘢘𘢞𘢝𘢗 	  半伤不破 
战争幻想 	 浴血兵锋 		 𘢝𘢖𘢔𘢞𘢟𘢔 	  丑牛1985 
都市生活 	 美国牧场的小生活 		 𘢝𘢜𘢘𘢞𘢝𘢟 	  醛石 
都市生活 	 重生之神级学霸 		 𘢟𘢘𘢛𘢞𘢟𘢖 	  志鸟村 
异世大陆 	 大主宰 		 𘢟𘢔𘢖𘢞𘢛𘢗 	  天蚕土豆 
武侠幻想 	 白袍总管 		 𘢖𘢙𘢜𘢞𘢗𘢟 	  萧舒 
衍生同人 	 火影之最强卡卡西 		 𘢜𘢔𘢘𘢞𘢗 	  墨渊九砚 
古典仙侠 	 奇遇无限 		 𘢜𘢚𘢟𘢞𘢚𘢖 	  龙鳞道V 
篮球运动 	 壹号卫 		 𘢝𘢔𘢘𘢞𘢗𘢚 	  葛洛夫街兄弟 
东方玄幻 	 超级神掠夺 		 𘢝𘢝𘢝𘢞𘢙𘢟 	  奇燃 
未来世界 	 吞噬星空 		 𘢟𘢚𘢚𘢞𘢛𘢘 	  我吃西红柿 
短篇小说 	 软，化，物 		 𘢜𘢝𘢟𘢞𘢘 	  得了吧 
体育赛事 	 跑出我人生 		 𘢜𘢝𘢚𘢞𘢝𘢗 	  丧尸舞 
剑与魔法 	 巫师再临 		 𘢜𘢗𘢚𘢞𘢔𘢟 	  王吾 
时空穿梭 	 废土崛起 		 𘢟𘢟𘢛𘢞𘢘𘢟 	  通吃道人.QD 
东方玄幻 	 将夜 		 𘢗𘢚𘢘𘢞𘢜𘢖 	  猫腻 
战争幻想 	 佣兵的战争 		 𘢚𘢜𘢟𘢞𘢔𘢜 	  如水意 
衍生同人 	 在下慎二，有何贵干 		 𘢝𘢙𘢖𘢞𘢚𘢘 	  烂衣奸少 
时空穿梭 	 电影世界大盗 		 𘢖𘢗𘢛𘢞𘢔𘢘 	  七只跳蚤 
变身入替 	 变身路人女主 		 𘢜𘢖𘢘𘢞𘢝 	  醉卧笑伊人 
修真文明 	 莽荒纪 		 𘢟𘢜𘢚𘢞𘢔𘢟 	  我吃西红柿 
两宋元明 	 调教大宋 		 𘢝𘢖𘢚 	  苍山月 
剑与魔法 	 暴风法神 		 𘢟𘢗𘢜𘢞𘢝𘢖 	  余云飞 
衍生同人 	 无限之动漫电影小队 		 𘢜𘢙𘢘𘢞𘢝𘢘 	  重新飞起来 
超级科技 	 电弧中的高级玩家 		 𘢝𘢛𘢛𘢞𘢚𘢘 	  大脸猫脸大 
时空穿梭 	 两界搬运工 		 𘢟𘢜𘢜𘢞𘢙𘢝 	  石闻 
悬疑侦探 	 青叶灵异事务所 		 𘢟𘢔𘢜𘢞𘢜𘢔 	  库奇奇 
时空穿梭 	 武侠世界大穿越 		 𘢙𘢔𘢙𘢞𘢖𘢔 	  我叫排云掌 
架空历史 	 庆余年 		 𘢗𘢚𘢔𘢞𘢗𘢜 	  猫腻 
剑与魔法 	 巫师传奇之旅 		 𘢝𘢝𘢖𘢞𘢜𘢙 	  紫叶罗兰 
虚拟网游 	 网游之神级土豪 		 𘢗𘢛𘢟𘢞𘢔𘢖 	  极目天狗 
足球运动 	 我是瓦尔迪 		 𘢝𘢝𘢗𘢞𘢖 	  王大布 
都市生活 	 超级村主任 		 𘢜𘢚𘢔𘢞𘢛𘢗 	  和光万物 
衍生同人 	 次元马甲系统 		 𘢜𘢙𘢚𘢞𘢝𘢝 	  哆啦i梦 
东方玄幻 	 武动乾坤 		 𘢗𘢔𘢗𘢞𘢜𘢟 	  天蚕土豆 
异术超能 	 万界科技系统 		 𘢜𘢟𘢙𘢞𘢜𘢚 	  孙帅出口成诗 
幻想修仙 	 求魔 		 𘢟𘢘𘢙𘢞𘢘𘢜 	  耳根 
异术超能 	 修士的厨神生活 		 𘢜𘢙𘢔𘢞𘢚 	  食颜而肥 
游戏异界 	 牛头人领主 		 𘢜𘢘𘢛𘢞𘢘𘢝 	  一棵小白菜呀 
都市生活 	 回到山沟去种田 		 𘢗𘢝𘢜𘢞𘢛𘢟 	  二子从周 
现代修真 	 反套路快穿 		 𘢜𘢚𘢚𘢞𘢚𘢘 	  良心 
现代修真 	 最强弃少 		 𘢚𘢛𘢗𘢞𘢙𘢚 	  鹅是老五 
电子竞技 	 神级英雄 		 𘢖𘢜𘢚𘢞𘢙𘢟 	  大烟缸 
另类幻想 	 美漫世界霸王轨迹 		 𘢗𘢝𘢝𘢞𘢝𘢘 	  驿路羁旅 
东方玄幻 	 间客 		 𘢗𘢟𘢟𘢞𘢗𘢝 	  猫腻 
异术超能 	 海洋修士 		 𘢜𘢙𘢙𘢞𘢔𘢝 	  步枪打蚊子 
时空穿梭 	 宿主请留步 		 𘢜𘢚𘢔𘢞𘢘 	  雪落君 
剑与魔法 	 盘龙 		 𘢗𘢗𘢟𘢞𘢜 	  我吃西红柿 
娱乐明星 	 我的明星老师 		 𘢝𘢛𘢔𘢞𘢖𘢚 	  夜的光 
东方玄幻 	 武极天下 		 𘢖𘢖𘢔𘢞𘢙𘢙 	  蚕茧里的牛 
幻想修仙 	 飞天 		 𘢖𘢔𘢙𘢞𘢝𘢚 	  跃千愁 
娱乐明星 	 奶爸的文艺人生 		 𘢗𘢜𘢘𘢞𘢛𘢖 	  寒门 
清史民国 	 晚清之乱臣贼子 		 𘢗𘢗𘢔𘢞𘢔𘢟 	  吴老狼 
都市生活 	 黄金瞳 		 𘢟𘢜𘢖𘢞𘢝𘢔 	  打眼 
幻想修仙 	 星辰变 		 𘢝𘢙𘢛𘢞𘢗𘢔 	  我吃西红柿 
古典仙侠 	 二青 		 𘢜𘢖𘢖𘢞𘢛𘢜 	  来不及忧伤 
东方玄幻 	 人道至尊 		 𘢟𘢙𘢙𘢞𘢘𘢙 	  宅猪 
异术超能 	 脑洞大爆炸 		 𘢜𘢔𘢙𘢞𘢙𘢝 	  魔性沧月 
时空穿梭 	 无限恐怖 		 𘢝𘢚𘢗𘢞𘢛𘢚 	  zhttty 
时空穿梭 	 主神大道 		 𘢗𘢔𘢝𘢞𘢛𘢚 	  古月居士 
现实百态 	 大城时代 		 𘢝𘢜𘢝𘢞𘢙𘢘 	  司马白衫 
电子竞技 	 英雄联盟：领袖之勋 		 𘢜𘢔𘢖𘢞𘢖 	  爱开大差 
衍生同人 	 我真的不想穿越 		 𘢜𘢟𘢛𘢞𘢗𘢟 	  王筱蛟 
衍生同人 	 猎人之面子果实 		 𘢜𘢛𘢘𘢞𘢔𘢖 	  城堡里的虎猫 
幻想修仙 	 能穿越的修行者 		 𘢝𘢔𘢗𘢞𘢜𘢗 	  神秘男人 
都市生活 	 农家仙田 		 𘢘𘢛𘢖𘢞𘢔𘢟 	  南山隐士 
东方玄幻 	 武神空间 		 𘢜𘢜𘢖𘢙𘢞𘢛𘢙 	  傅啸尘 
谍战特工 	 暗战 		 𘢝𘢜𘢔 	  丁丁猫 
两晋隋唐 	 大唐风华路 		 𘢝𘢟𘢝𘢞𘢙 	  山下出水 
修真文明 	 征战诸天世界 		 𘢝𘢟𘢖𘢞𘢙𘢗 	  迦太基的失落 
东方玄幻 	 弑天刃 		 𘢘𘢜𘢚𘢞𘢚𘢖 	  小刀锋利 
两宋元明 	 回到明朝当王爷 		 𘢗𘢖𘢙𘢞𘢙𘢟 	  月关 
东方玄幻 	 长生界 		 𘢝𘢙𘢘𘢞𘢙𘢔 	  辰东 
东方玄幻 	 一世之尊 		 𘢟𘢟𘢗𘢞𘢚𘢜 	  爱潜水的乌贼 
武侠幻想 	 九鼎记 		 𘢝𘢛𘢝𘢞𘢖𘢗 	  我吃西红柿 
未来世界 	 未来宠物店 		 𘢝𘢗𘢛𘢞𘢘𘢟 	  维斯特帕列 
两宋元明 	 大宋的智慧 		 𘢗𘢗𘢚𘢞𘢔 	  孑与2 
幻想修仙 	 在仙界当漫画家 		 𘢜𘢘𘢖𘢞𘢖𘢝 	  寻雾者 
幻想修仙 	 掠天记 		 𘢘𘢖𘢛𘢞𘢘𘢝 	  黑山老鬼 
都市生活 	 重生之2006 		 𘢗𘢖𘢗𘢞𘢝𘢖 	  雨去欲续 
剑与魔法 	 极道骑士 		 𘢜𘢘𘢟𘢞𘢟𘢖 	  银霜骑士 
清史民国 	 重生于康熙末年 		 𘢘𘢚𘢜𘢞𘢗 	  雁九 
军旅生涯 	 最强退伍兵 		 𘢜𘢛𘢛𘢞𘢔𘢚 	  和光万物 
足球运动 	 冠军之心 		 𘢗𘢖𘢟𘢞𘢚𘢖 	  林海听涛 
时空穿梭 	 动画世界大冒险 		 𘢝𘢘𘢘𘢞𘢙𘢔 	  穷四 
修真文明 	 仙域科技霸主 		 𘢘𘢟𘢙𘢞𘢛𘢖 	  试剑天涯 
游戏异界 	 从荒岛开始争霸 		 𘢜𘢝𘢖𘢞𘢔𘢝 	  怒笑 
虚拟网游 	 昆仑有剑 		 𘢜𘢘𘢘𘢞𘢜𘢜 	  久未饮酒 
都市生活 	 超级金钱帝国 		 𘢟𘢙𘢛𘢞𘢗 	  七世狂人 
都市生活 	 神奇牧场 		 𘢗𘢖𘢚𘢞𘢝𘢔 	  若忘书 
神话修真 	 洪荒之太一证道路 		 𘢜𘢗𘢘𘢞𘢚𘢟 	  熊二先生 
异世大陆 	 奥术神座 		 𘢗𘢜𘢘𘢞𘢔𘢘 	  爱潜水的乌贼 
东方玄幻 	 龙王戒 		 𘢜𘢜𘢖𘢞𘢖𘢔 	  李白不白 
衍生同人 	 一拳超人之帝王引擎 		 𘢜𘢝𘢗𘢞𘢟𘢝 	  我是贝币 
游戏异界 	 我家客厅有个副本 		 𘢜𘢛𘢟𘢞𘢔𘢖 	  宝月流光 
异术超能 	 万界淘宝商 		 𘢝𘢔𘢔𘢞𘢛𘢙 	  叶恨水 
两宋元明 	 闲臣风流 		 𘢜𘢘𘢛𘢞𘢖𘢘 	  衣山尽 
现代修真 	 造化之门 		 𘢟𘢚𘢘𘢞𘢘𘢝 	  鹅是老五 
异世大陆 	 武道宗师 		 𘢝𘢘𘢜𘢞𘢗𘢔 	  爱潜水的乌贼 
幻想修仙 	 心魔 		 𘢝𘢔𘢖𘢞𘢘𘢙 	  沁纸花青 
战争幻想 	 兵锋王座 		 𘢝𘢘𘢙𘢞𘢝𘢘 	  长风 
都市生活 	 首席御医 		 𘢗𘢔𘢝𘢞𘢗𘢟 	  银河九天 
异术超能 	 梦游诸界 		 𘢝𘢛𘢘𘢞𘢗𘢗 	  十九层深渊 
幻想修仙 	 一言通天 		 𘢟𘢝𘢟𘢞𘢝𘢜 	  黑弦 
时空穿梭 	 巡狩万界 		 𘢜𘢘𘢙𘢞𘢙𘢖 	  阎ZK 
神话修真 	 聊斋大圣人 		 𘢝𘢟𘢛𘢞𘢖𘢗 	  佛前献花 
衍生同人 	 妙木山的塔姆仙人 		 𘢜𘢛𘢔𘢞𘢟𘢚 	  河流之汪 
异世大陆 	 史上第一祖师爷 		 𘢟𘢖𘢛𘢞𘢛𘢟 	  八月飞鹰 
武侠幻想 	 最强反派系统 		 𘢟𘢖𘢗𘢞𘢘𘢙 	  封七月 
战争幻想 	 最强兵王 		 𘢙𘢗𘢖𘢞𘢟𘢖 	  丛林狼 
异术超能 	 我是大玩家 		 𘢜𘢘𘢘𘢞𘢖 	  会说话的肘子 
剑与魔法 	 法师亚当 		 𘢜𘢝𘢚𘢞𘢔𘢟 	  流泪的啤酒 
时空穿梭 	 鬼片的世界 		 𘢜𘢝𘢙𘢞𘢗𘢗 	  方所 
东方玄幻 	 我的神级手机助手 		 𘢜𘢜𘢙𘢞𘢜𘢚 	  天地有缺 
异世大陆 	 黑暗主宰 		 𘢝𘢛𘢝𘢞𘢔𘢙 	  零下九十度 
秦汉三国 	 三国之超级召唤系统 		 𘢗𘢟𘢘𘢞𘢙𘢗 	  姜梵 
娱乐明星 	 重生之华夏文圣 		 𘢝𘢖𘢗𘢞𘢔𘢜 	  射手座李不二 
两宋元明 	 范进的平凡生活 		 𘢝𘢘𘢛𘢞𘢙𘢙 	  普祥真人 
幻想修仙 	 百炼成仙 		 𘢔𘢚𘢙𘢞𘢖 	  幻雨 
游戏异界 	 疯巫妖的实验日志 		 𘢗𘢜𘢟𘢞𘢘𘢟 	  愤怒的松鼠 
衍生同人 	 火影之忍界闪光 		 𘢝𘢝𘢚𘢞𘢗𘢚 	  时间流转 
异世大陆 	 无尽丹田 		 𘢖𘢗𘢛𘢞𘢚𘢝 	  横扫天涯 
娱乐明星 	 相声大师 		 𘢝𘢗𘢛𘢞𘢜𘢗 	  唐四方 
星际文明 	 深空之下 		 𘢜𘢚𘢛𘢞𘢝𘢘 	  最终永恒 
东方玄幻 	 神魔供应商 		 𘢝𘢚𘢚𘢞𘢗𘢚 	  何处不染尘 
都市生活 	 韩警官 		 𘢗𘢝𘢟𘢞𘢗𘢙 	  卓牧闲 
异术超能 	 超级英雄间谍派 		 𘢝𘢗𘢚𘢞𘢘𘢙 	  留心金碧年深 
两晋隋唐 	 唐朝最佳闲王 		 𘢝𘢜𘢗𘢞𘢙 	  末日游侠 
游戏异界 	 终末之城 		 𘢜𘢟𘢔𘢞𘢔𘢙 	  西贝猫 
娱乐明星 	 最校长 		 𘢜𘢛𘢝𘢞𘢚𘢗 	  骑马客京华 
武侠幻想 	 武侠之数据风暴 		 𘢜𘢛𘢛𘢞𘢚𘢚 	  一碗酸梅汤 
